"Survey ID",Country,"Survey date",Age,Gender,State/Province,"Did you receive aid?","Did you need aid?","Aid type: Cash/vouchers","Aid type: Food","Aid type: Water/sanitation","Aid type: Shelter","Aid type: Medical","Aid type: Household items","Aid type: Children's Education","Aid type: Seeds/tools","Aid type: Protection","Aid provider: Local authorities","Aid provider: National NGO","Aid provider: International NGO","Aid provider: Red Cross/Crescent Society","Aid provider: UN agency","Aid provider: ICRC","Aid provider: Religious group","Aid provider: Military group","Aid provider: Local business","Aid provider: DONT KNOW","Did aid cover basic needs?","Difficulty receiving aid: Too far away","Difficulty receiving aid: Unsafe for people to reach","Difficulty receiving aid:  Local officials took it","Difficulty receiving aid: Military took it","No difficulty receiving aid","IDK if any difficulty","Does aid reach where it is needed most?","Main access obstacle: Unsafe for aidworkers","Main access obstacle: Poor roads","Main access obstacle:Government restrictions","Main access obstacle: Other military restrictions","Main access obstacle: Most affected areas not prioritized","No access obstacles","Aid provider type most able to reach people in need: government","Aid provider type most able to reach people in need: National NGOs","Aid provider type most able to reach people in need: INGOs","Aid provider type most able to reach people in need: Red Cross/Crescent","Aid provider type most able to reach people in need: UN agencies","Aid provider type most able to reach people in need: ICRC","Aid provider type most able to reach people in need: Religious groups","Aid provider type most able to reach people in need:  Military groups","Aid provider type most able to reach people in need:  Local businesses","IDK who's most able to reach people in need","Most present government provider","Most present government provider2","Most present INGO","Most present INGO2","Most present national NGO","Most present national NGO2","Most present UN aid provider","Most present UN aid provider2","To improve reach: Work through local businesses?","To  improve reach: Work with local [church/mosque]?","To improve reach: Work with the local authorities","To improve reach: Negotiate with armed groups","To improve reach: Consult more with our community","What would improve reach: Be more respectful of our customs","Other potential aid providers: Local businesses [vouchers]","Other potential aid providers: Local councils","Other potential aid providers: Government","Other potential aid providers: Military","Other potential aid providers: Religious group","Other potential aid providers: Truckingtransport company","Other potential aid providers: other ","Change in aid presence","Why is aid presence changing?"
UPS2218302906115950375,Palestine,"February 4-February 17, 2024",29,FEMALE,"DEIR AL-BALAH GOVERNORATE",NO,YES,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,No,No,"Not really",Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"I don't know",,"I don't know",,"Al-Salah Islamic Association","I don't know",UNRWA,UNICEF,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,"Reduced a lot","Due to the presence of displaced people in our area, who are more entitled to aid than the locals themselves"
UPS2218672635439129841,Palestine,"February 4-February 17, 2024",59,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,"Not at all",No,Yes,Yes,No,No,No,"Not really",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Qatar,,"I don't know",,"Unlimited Friends Association for Social Development??(UFA)","don't know",UNRWA,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Increased,"Because there are more displaced people"
UPS2226201138667874444,Palestine,"February 4-February 17, 2024",54,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"Not at all",No,Yes,No,Yes,No,No,"Mostly yes",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"I don't know",,"I don't know",,"I don't know",,UNRWA,,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,"Neutral/stayed the same",N/A
UPS2288138227968425668,Palestine,"February 4-February 17, 2024",42,FEMALE,"GAZA GOVERNORATE",NO,YES,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,Yes,"Not at all",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,None,,None,,None,,None,,No,No,No,No,No,No,No,No,No,No,No,No,No,"Reduced a lot","There is no one offering us aid"
UPS-2309553908319318294,Palestine,"February 4-February 17, 2024",27,FEMALE,"GAZA GOVERNORATE",NO,YES,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,No,No,No,"Mostly yes",No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,"I don't know",,"Palestine Red Crescent Society","I don't know","I don't know",,UNRWA,,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,"DONT KNOW",N/A
UPS-2336249809248957620,Palestine,"February 4-February 17, 2024",40,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Mostly yes",No,Yes,No,Yes,No,No,"Not really",Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"I don't know",,"International Committee of the??Red Cross??(ICRC)","I don't know","Palestine Red Crescent Society","I don't know",UNRWA,,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,"Neutral/stayed the same",N/A
UPS-2375951545484169541,Palestine,"February 4-February 17, 2024",30,FEMALE,"RAFAH GOVERNORATE",NO,YES,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,Yes,"Mostly yes",No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,None,,"UAE and Kuwait","The Egyptian Red Crescent",None,,None,,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,"Reduced a lot","Due to the large increase in the number of displaced people"
UPS2387771448876928501,Palestine,"February 4-February 17, 2024",40,FEMALE,"DEIR AL-BALAH GOVERNORATE",NO,YES,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,"DON'T KNOW",No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"I don't know",,"I don't know",,"I don't know",,"I don't know",,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,"Neutral/stayed the same",N/A
UPS2456305502646591821,Palestine,"February 4-February 17, 2024",37,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,"Not really",Yes,No,Yes,No,No,No,"DON'T KNOW",No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,None,,None,,None,,WFP,,No,No,No,No,No,No,No,No,No,No,No,No,No,"DONT KNOW",N/A
UPS-246836927646332804,Palestine,"February 4-February 17, 2024",25,FEMALE,"GAZA GOVERNORATE",NO,YES,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,"Not at all",No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,"I don't know",,"I don't know",,"I don't know",,UNRWA,,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,"DONT KNOW",N/A
UPS-2508082942261704993,Palestine,"February 4-February 17, 2024",23,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Not at all",Yes,No,No,No,No,No,"DON'T KNOW",No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,"Ministry of Social Development ","I don't know","I don't know",,"I don't know",,UNRWA,,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Reduced,"Because there are many people in need and the number of displaced is large, and the aid is not enough"
UPS2526768538543965353,Palestine,"February 4-February 17, 2024",50,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Not really",No,Yes,No,No,No,No,"DON'T KNOW",No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,"I don't know",,"Canadian Relief Association for the Afflicted-Hope Stars"" Kindergarten in Gaza Strip",None,None,,None,,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,"Reduced a lot","Theft of aids and using them for personal interests"
UPS-2530277316562156462,Palestine,"February 4-February 17, 2024",29,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Not at all",Yes,No,No,No,No,No,"DON'T KNOW",No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,None,,"I don't know",,"I don't know",,UNRWA,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,"Reduced a lot","There are many people, many displaced, and the area is far"
UPS2560901406383445450,Palestine,"February 4-February 17, 2024",28,FEMALE,"RAFAH GOVERNORATE",NO,YES,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,Yes,"Mostly yes",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"I don't know",,"I don't know",,"I don't know",,UNRWA,,No,No,No,No,No,No,No,No,No,No,No,No,No,"Neutral/stayed the same",N/A
UPS-2577926728815613451,Palestine,"February 4-February 17, 2024",28,FEMALE,"GAZA GOVERNORATE",NO,YES,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,No,No,No,"Not really",No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,None,,"I don't know",,"I don't know",,None,,No,No,No,No,No,No,No,No,No,No,No,No,No,"Neutral/stayed the same",N/A
UPS-2608526052136928513,Palestine,"February 4-February 17, 2024",70,FEMALE,"DEIR AL-BALAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Not at all",Yes,No,Yes,No,No,No,"Not at all",No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,None,,None,,None,,None,,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Reduced,"Due to the theft of coupons and their distribution among acquaintances and relatives. A lot of aids arrive but don't reach the needy people inside the shelters. Those outside don't receive anything. There is a lot of exploitation and favoritism, even the food items are sold at high prices."
UPS2624060509333266606,Palestine,"February 4-February 17, 2024",50,FEMALE,"RAFAH GOVERNORATE",YES,YES,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,"Not at all",No,No,Yes,No,No,No,"DON'T KNOW",No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,"I don't know",,"Save the Children","I don't know","Mohammed Dahlan","I don't know",WFP,,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,"Reduced a lot","According to their personal interests and acquaintances, people who are not in need but take aids, the authority and agency employees are given more aids than the rest of the individuals who are more deserving of this assistance"
UPS-2678807270992908815,Palestine,"February 4-February 17, 2024",49,FEMALE,"DEIR AL-BALAH GOVERNORATE",NO,YES,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,Yes,No,Yes,No,No,No,"Not at all",No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,None,,None,,None,,None,,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,"Reduced a lot","Due to the theft of aids and the purchase of provided aids at exorbitant prices in the market, and there is no solution so far"
UPS-2716952923382009387,Palestine,"February 4-February 17, 2024",50,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Not at all",Yes,No,Yes,Yes,No,No,"Not really",No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"I don't know",,None,,"I don't know",,UNRWA,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Reduced a lot","Because there are many people and"
UPS2846336576310741,Palestine,"February 4-February 17, 2024",45,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Not at all",Yes,Yes,No,No,No,No,"Not at all",No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"I don't know",,"I don't know",,"I don't know",,UNRWA,,No,No,No,No,No,No,No,No,No,No,No,No,No,"Neutral/stayed the same",N/A
UPS-2865961877477356452,Palestine,"February 4-February 17, 2024",31,FEMALE,"RAFAH GOVERNORATE",NO,YES,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,Yes,No,Yes,No,No,No,"Mostly yes",No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"United Arab Emirates",Qatar,"I don't know","I don't know","I don't know",,"I don't know",,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,"Neutral/stayed the same",N/A
UPS-2913297483861572151,Palestine,"February 4-February 17, 2024",40,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Mostly yes",Yes,No,No,No,No,No,"Mostly yes",Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,"I don't know",,"I don't know",,"I don't know",,UNRWA,,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,"Neutral/stayed the same",N/A
UPS-292240243413334907,Palestine,"February 4-February 17, 2024",37,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Not at all",No,No,Yes,No,No,No,"Not at all",No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Ministry of Social Development ","I don't know",CHF,"I don't know","International Committee of the??Red Cross??(ICRC)","I don't know",UNRWA,UNICEF,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,"Neutral/stayed the same",N/A
UPS-2946293541728133803,Palestine,"February 4-February 17, 2024",36,FEMALE,"RAFAH GOVERNORATE",NO,YES,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,No,No,Yes,No,No,No,"Not at all",No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,"Business Authority Foundation",None,None,,"Al-Rahma Charitable Society","I don't know",None,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,"Reduced a lot","There is no knowledge of the current situation, such as being a mother to orphans"
UPS-2955029090724233843,Palestine,"February 4-February 17, 2024",28,FEMALE,"DEIR AL-BALAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Not at all",Yes,No,No,No,No,No,"Not at all",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"Ministry of Social Development",None,None,,"Palestine Red Crescent Society","I don't know",None,,No,No,No,No,No,No,No,No,No,No,No,No,No,"Neutral/stayed the same",N/A
UPS-3014214253936552379,Palestine,"February 4-February 17, 2024",72,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Not at all",No,No,No,No,No,Yes,"DON'T KNOW",No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,"I don't know",,"I don't know",,"I don't know",,WFP,,No,No,No,No,No,No,No,No,No,No,No,No,No,"DONT KNOW",N/A
UPS3018905942359011240,Palestine,"February 4-February 17, 2024",32,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Not really",No,No,No,Yes,No,No,"Mostly yes",No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"I don't know",,"Doctors Without Borders","I don't know","I don't know",,UNRWA,,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Reduced,"Due to the large number of displaced people... there is a priority right for certain groups"
UPS-3113429752498708625,Palestine,"February 4-February 17, 2024",37,FEMALE,"DEIR AL-BALAH GOVERNORATE",NO,YES,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,Yes,"Not really",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"I don't know",,"Palestine Red Crescent Society",None,None,,None,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,"Neutral/stayed the same",N/A
UPS3122057394026238941,Palestine,"February 4-February 17, 2024",41,FEMALE,"DEIR AL-BALAH GOVERNORATE",NO,YES,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,No,No,"Not at all",Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,None,,"CARE International",None,None,,UNRWA,,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,"Neutral/stayed the same",N/A
UPS3129464111755138539,Palestine,"February 4-February 17, 2024",38,FEMALE,"DEIR AL-BALAH GOVERNORATE",NO,YES,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,No,No,No,"Mostly yes",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"I don't know",,"I don't know",,"I don't know",,"I don't know",,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Reduced a lot","Because the aids do not arrive... they have decreased a lot"
UPS-3139613103510073400,Palestine,"February 4-February 17, 2024",21,FEMALE,"RAFAH GOVERNORATE",NO,NO,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,"DON'T KNOW",No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,"I don't know",,"I don't know",,"I don't know",,"I don't know",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"Reduced a lot","The area is remote and does not receive any aids"
UPS3157634327809359485,Palestine,"February 4-February 17, 2024",34,FEMALE,"RAFAH GOVERNORATE",NO,YES,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,No,No,Yes,No,No,No,"DON'T KNOW",No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"I don't know",,None,,None,,UNRWA,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,"Neutral/stayed the same",N/A
UPS3165886848225869340,Palestine,"February 4-February 17, 2024",33,FEMALE,"RAFAH GOVERNORATE",NO,YES,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,No,Yes,Yes,No,No,No,"Not really",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Ministry of Social Development ","I don't know","I don't know",,"Palestine Red Crescent Society","I don't know",UNRWA,,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,"DONT KNOW",N/A
UPS3171544346061528973,Palestine,"February 4-February 17, 2024",29,FEMALE,"KHAN YUNIS GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Not at all",Yes,No,No,No,No,No,"Not really",Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"I don't know",,"I don't know",,"I don't know",,UNRWA,,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,"Reduced a lot","Theft of aids"
UPS3227784674225849538,Palestine,"February 4-February 17, 2024",47,FEMALE,"RAFAH GOVERNORATE",NO,YES,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,"Mostly yes",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,None,,"I don't know",,"I don't know",,UNRWA,,No,No,No,No,No,No,No,No,No,No,No,No,No,"DONT KNOW",N/A
UPS-3243308880261297037,Palestine,"February 4-February 17, 2024",34,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Not at all",No,No,No,No,No,Yes,"Yes - very much",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"I don't know",,"I don't know",,"I don't know",,"I don't know",,No,No,No,No,No,No,No,No,No,No,No,No,No,"Neutral/stayed the same",N/A
UPS3289413157024439844,Palestine,"February 4-February 17, 2024",35,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Not at all",No,No,No,No,No,Yes,"DON'T KNOW",No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,None,,None,,None,,UNRWA,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Reduced,"Difficulty in reaching, scarcity, limited number, and the increasing number of displaced people."
UPS3299188836724368026,Palestine,"February 4-February 17, 2024",20,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Not really",Yes,Yes,Yes,No,No,No,"Not really",No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Qatar,,"I don't know",,"I don't know",,"I don't know",,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Reduced,"The number of displaced people is very large"
UPS-3323337261004168690,Palestine,"February 4-February 17, 2024",38,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Not at all",Yes,No,No,No,No,No,"Not really",No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,"I don't know",,"I don't know",,"Islamic Society ","El Salah Association",UNRWA,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Reduced,"All the aid providers have moved to Rafah"
UPS-3335125432651475056,Palestine,"February 4-February 17, 2024",31,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Not really",No,Yes,No,No,No,No,"Mostly yes",No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Qatar,,"I don't know",,"I don't know",,UNRWA,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Increased,"Because of the large number of people and some people need a system"
UPS-3394657751756397589,Palestine,"February 4-February 17, 2024",32,FEMALE,"DEIR AL-BALAH GOVERNORATE",NO,YES,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,Yes,No,Yes,No,No,No,Neutral,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,"I don't know",,"I don't know",,"I don't know",,"I don't know",,No,No,Yes,No,No,No,No,No,No,No,No,No,No,"Neutral/stayed the same",N/A
UPS3436373911442663533,Palestine,"February 4-February 17, 2024",43,FEMALE,"RAFAH GOVERNORATE",NO,YES,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,No,No,"Mostly yes",No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,"I don't know",,"Palestinian Medical Relief Society","I don't know","Ministry of Social Development ","I don't know",UNRWA,,No,No,No,No,No,No,No,No,No,No,No,No,No,"Reduced a lot","they give it to the owner of the area, and we are not considered"
UPS3460484822019954822,Palestine,"February 4-February 17, 2024",30,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"Not at all",Yes,No,Yes,No,No,No,"Yes - very much",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,None,,"I don't know",,"I don't know",,UNRWA,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"DONT KNOW",N/A
UPS346711956383977431,Palestine,"February 4-February 17, 2024",42,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,"Not at all",Yes,Yes,No,No,No,No,"Not really",No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,"I don't know",,"I don't know",,"Red Crescent Society of the United Arab Emirates","I don't know",UNRWA,UNICEF,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Reduced,"Due to the increase in the number of displaced people"
UPS3470215885469768958,Palestine,"February 4-February 17, 2024",44,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Neutral,No,No,No,No,No,Yes,"DON'T KNOW",No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,"I don't know",,"I don't know",,"I don't know",,"I don't know",,No,No,No,No,No,No,No,No,No,No,No,No,No,"DONT KNOW",N/A
UPS-3477084571054145136,Palestine,"February 4-February 17, 2024",45,FEMALE,"DEIR AL-BALAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Not at all",Yes,Yes,Yes,Yes,No,No,"Not at all",Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,None,,"Palestine Red Crescent Society","Kuwaiti Red Crescent",None,,UNRWA,,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,"Reduced a lot","We didn't see anything from them except thefts and distribution to the closest and acquaintances only; we buy at exorbitant prices, and most have been deprived of many people"
UPS-3479842447319705773,Palestine,"February 4-February 17, 2024",40,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Not at all",No,Yes,Yes,Yes,No,No,"Not really",No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,None,,None,,None,,None,,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,"Increased a lot","Many aids are brought in but are stolen and sold in the market at very high prices that we can't afford. Nepotism and favoritism among the people in charge. All of them are stolen. They tell us if you are from shelter schools, you only take from there. Armed groups and robbers shoot at us, and Hamas controls the aids."
UPS3490366034197473293,Palestine,"February 4-February 17, 2024",50,FEMALE,"DEIR AL-BALAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Not at all",No,Yes,No,No,No,No,"DON'T KNOW",Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"I don't know",,"I don't know",,"I don't know",,UNRWA,,No,No,No,No,No,No,No,No,No,No,No,No,No,"Reduced a lot","I don't know"
UPS3525038757206461578,Palestine,"February 4-February 17, 2024",32,FEMALE,"RAFAH GOVERNORATE",NO,YES,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,Yes,"Not at all",No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,None,,None,,None,,None,,No,No,No,No,No,No,No,No,No,No,No,No,No,"Neutral/stayed the same",N/A
UPS-354592822860659222,Palestine,"February 4-February 17, 2024",42,FEMALE,"GAZA GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Not at all",Yes,Yes,Yes,Yes,No,No,"Not really",Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,None,,None,,None,,None,,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,"Neutral/stayed the same",N/A
UPS3575475031814597905,Palestine,"February 4-February 17, 2024",36,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Neutral,Yes,No,No,No,No,No,"DON'T KNOW",No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,None,,None,,None,,None,,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,"Neutral/stayed the same",N/A
UPS3629629246116483494,Palestine,"February 4-February 17, 2024",42,FEMALE,"DEIR AL-BALAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Not at all",Yes,Yes,Yes,Yes,No,No,"DON'T KNOW",No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,None,,"I don't know",,"I don't know",,UNRWA,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"DONT KNOW",N/A
UPS3674271308075715924,Palestine,"February 4-February 17, 2024",46,FEMALE,"DEIR AL-BALAH GOVERNORATE",YES,YES,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Not really",Yes,No,No,No,No,No,"Not at all",No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,None,,None,,None,"Ministry of Social Development ",UNRWA,,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Reduced,"Because we are in war zones and do not know where the aid providers have gone, and the aid centers have been destroyed by the occupation forces"
